mmsi,postime,lat,lon,sog,cog,VesselType,Status,TrackID
357194000.0,2021-03-29 15:25:00,24.23907,-113.345732,12.583333,320.65,70.0,0.0,0.0
357194000.0,2021-03-29 15:30:00,24.25256,-113.357865,12.65,320.4,70.0,0.0,0.0
357194000.0,2021-03-29 15:35:00,24.26585,-113.36972,12.6,320.6,70.0,0.0,0.0
357194000.0,2021-03-29 15:40:00,24.286175,-113.38752,12.5,320.95,70.0,0.0,0.0
357194000.0,2021-03-29 15:45:00,24.296655,-113.396655,12.4,321.45,70.0,0.0,0.0
357194000.0,2021-03-29 15:50:00,24.310905,-113.40887,12.3,321.9,70.0,0.0,0.0
357194000.0,2021-03-29 15:55:00,24.325065,-113.420815,12.2,322.35,70.0,0.0,0.0
357194000.0,2021-03-29 16:00:00,24.337265,-113.431035,12.2,322.25,70.0,0.0,0.0
357194000.0,2021-03-29 16:05:00,24.35178,-113.444003,12.233333,321.366815,70.0,0.0,0.0
357194000.0,2021-03-29 16:10:00,24.36359,-113.454707,12.266667,320.233185,70.0,0.0,0.0
357194000.0,2021-03-29 16:15:00,24.385672,-113.475095,12.283333,319.033334,70.0,0.0,0.0
357194000.0,2021-03-29 16:20:00,24.395943,-113.48478,12.266667,318.966667,70.0,0.0,0.0
357194000.0,2021-03-29 16:25:00,24.406215,-113.494465,12.25,318.9,70.0,0.0,0.0
357194000.0,2021-03-29 16:30:00,24.416487,-113.50415,12.233333,318.833333,70.0,0.0,0.0
357194000.0,2021-03-29 16:35:00,24.426758,-113.513835,12.216667,318.766666,70.0,0.0,0.0
357194000.0,2021-03-29 16:40:00,24.44225,-113.52845,12.15,318.95,70.0,0.0,0.0
357194000.0,2021-03-29 16:45:00,24.455875,-113.54147,12.2,319.35,70.0,0.0,0.0
357194000.0,2021-03-29 16:50:00,24.46877,-113.553685,12.15,318.85,70.0,0.0,0.0
357194000.0,2021-03-29 16:55:00,24.48169,-113.566075,12.15,318.35,70.0,0.0,0.0
357194000.0,2021-03-29 17:00:00,24.494035,-113.57788,12.15,319.0,70.0,0.0,0.0
357194000.0,2021-03-29 17:05:00,24.505668,-113.588678,12.225,319.15,70.0,0.0,0.0
357194000.0,2021-03-29 17:10:00,24.515815,-113.598045,12.25,319.2,70.0,0.0,0.0
357194000.0,2021-03-29 17:15:00,24.525962,-113.607413,12.275,319.25,70.0,0.0,0.0
357194000.0,2021-03-29 17:20:00,24.54624,-113.62615,12.4,320.35,70.0,0.0,0.0
357194000.0,2021-03-29 17:25:00,24.556215,-113.635255,12.45,319.9,70.0,0.0,0.0
357194000.0,2021-03-29 17:30:00,24.574725,-113.652355,12.45,319.55,70.0,0.0,0.0
357194000.0,2021-03-29 17:35:00,24.58419,-113.661295,12.4,319.15,70.0,0.0,0.0
357194000.0,2021-03-29 17:40:00,24.599545,-113.675685,12.3,319.7,70.0,0.0,0.0
357194000.0,2021-03-29 17:45:00,24.613025,-113.688325,12.3,319.45,70.0,0.0,0.0
357194000.0,2021-03-29 17:50:00,24.624715,-113.69948,12.3,318.55,70.0,0.0,0.0
357194000.0,2021-03-29 17:55:00,24.6394,-113.713665,12.4,319.0,70.0,0.0,0.0
357194000.0,2021-03-29 18:00:00,24.647245,-113.72123,12.5,318.75,70.0,0.0,0.0
357194000.0,2021-03-29 18:05:00,24.66683,-113.739975,12.5,319.0,70.0,0.0,0.0
357194000.0,2021-03-29 18:10:00,24.67811,-113.750795,12.65,318.65,70.0,0.0,0.0
357194000.0,2021-03-29 18:15:00,24.690325,-113.76255,12.65,318.2,70.0,0.0,0.0
357194000.0,2021-03-29 18:20:00,24.70548,-113.77712,12.7,318.9,70.0,0.0,0.0
357194000.0,2021-03-29 18:25:00,24.71885,-113.790025,12.7,318.3,70.0,0.0,0.0
357194000.0,2021-03-29 18:30:00,24.73192,-113.80279,12.7,318.4,70.0,0.0,0.0
357194000.0,2021-03-29 18:35:00,24.74259,-113.813215,12.7,317.65,70.0,0.0,0.0
