mmsi,postime,lat,lon,sog,cog,VesselType,Status,TrackID
374700000.0,2021-05-03 18:35:00,48.477708,-126.324036,13.15,90.183333,70.0,0.0,0.0
374700000.0,2021-05-03 18:40:00,48.47765,-126.296535,13.15,90.15,70.0,0.0,0.0
374700000.0,2021-05-03 18:45:00,48.477697,-126.263703,13.133333,90.233333,70.0,0.0,0.0
374700000.0,2021-05-03 18:50:00,48.477673,-126.252317,13.166667,90.166667,70.0,0.0,0.0
374700000.0,2021-05-03 18:55:00,48.477585,-126.223865,13.25,90.3,70.0,0.0,0.0
374700000.0,2021-05-03 19:00:00,48.47744,-126.19775,13.25,90.65,70.0,0.0,0.0
374700000.0,2021-05-03 19:05:00,48.477125,-126.16639,13.25,91.0,70.0,0.0,0.0
374700000.0,2021-05-03 19:10:00,48.47668,-126.133635,13.25,91.1,70.0,0.0,0.0
374700000.0,2021-05-03 19:15:00,48.47634,-126.110265,12.95,91.55,70.0,0.0,0.0
374700000.0,2021-05-03 19:20:00,48.4761,-126.08456,12.95,89.95,70.0,0.0,0.0
374700000.0,2021-05-03 19:25:00,48.4763,-126.05373,13.3,89.0,70.0,0.0,0.0
374700000.0,2021-05-03 19:30:00,48.47685,-126.02467,13.2,88.6,70.0,0.0,0.0
374700000.0,2021-05-03 19:35:00,48.47723,-125.99566,13.1,89.1,70.0,0.0,0.0
374700000.0,2021-05-03 19:40:00,48.477355,-125.98011,13.1,89.25,70.0,0.0,0.0
374700000.0,2021-05-03 19:45:00,48.4775,-125.945125,13.3,89.55,70.0,0.0,0.0
374700000.0,2021-05-03 19:50:00,48.4776,-125.91461,13.4,89.4,70.0,0.0,0.0
374700000.0,2021-05-03 19:55:00,48.47756,-125.894425,13.05,90.6,70.0,0.0,0.0
374700000.0,2021-05-03 20:00:00,48.47723,-125.862285,12.9,92.5,70.0,0.0,0.0
374700000.0,2021-05-03 20:05:00,48.476495,-125.83115,12.7,91.8,70.0,0.0,0.0
374700000.0,2021-05-03 20:10:00,48.475815,-125.805005,12.65,92.8,70.0,0.0,0.0
374700000.0,2021-05-03 20:15:00,48.47495,-125.780555,12.5,93.7,70.0,0.0,0.0
374700000.0,2021-05-03 20:20:00,48.47398,-125.75485,12.5,93.75,70.0,0.0,0.0
374700000.0,2021-05-03 20:25:00,48.472995,-125.727775,12.6,92.45,70.0,0.0,0.0
374700000.0,2021-05-03 20:30:00,48.47234,-125.704055,12.75,92.95,70.0,0.0,0.0
374700000.0,2021-05-03 20:35:00,48.47191,-125.67381,12.95,89.95,70.0,0.0,0.0
374700000.0,2021-05-03 20:40:00,48.47205,-125.64922,12.95,89.2,70.0,0.0,0.0
374700000.0,2021-05-03 20:45:00,48.472365,-125.623095,12.9,88.35,70.0,0.0,0.0
374700000.0,2021-05-03 20:50:00,48.47299,-125.59708,13.0,88.45,70.0,0.0,0.0
374700000.0,2021-05-03 20:55:00,48.473765,-125.56573,12.9,87.2,70.0,0.0,0.0
374700000.0,2021-05-03 21:00:00,48.47441,-125.54115,12.7,87.8,70.0,0.0,0.0
374700000.0,2021-05-03 21:05:00,48.474915,-125.514125,12.85,89.85,70.0,0.0,0.0
374700000.0,2021-05-03 21:10:00,48.47483,-125.48894,12.8,90.55,70.0,0.0,0.0
374700000.0,2021-05-03 21:15:00,48.47471,-125.46095,12.8,90.8,70.0,0.0,0.0
374700000.0,2021-05-03 21:20:00,48.47469,-125.4332,12.65,90.15,70.0,0.0,0.0
374700000.0,2021-05-03 21:25:00,48.474645,-125.407925,12.45,89.95,70.0,0.0,0.0
374700000.0,2021-05-03 21:30:00,48.474255,-125.381605,12.7,91.4,70.0,0.0,0.0
374700000.0,2021-05-03 21:35:00,48.47385,-125.35652,13.0,91.2,70.0,0.0,0.0
374700000.0,2021-05-03 21:40:00,48.473495,-125.325535,13.2,91.6,70.0,0.0,0.0
374700000.0,2021-05-03 21:45:00,48.47292,-125.299665,13.25,92.4,70.0,0.0,0.0
374700000.0,2021-05-03 21:50:00,48.472215,-125.2739,13.15,92.05,70.0,0.0,0.0
374700000.0,2021-05-03 21:55:00,48.4718,-125.242855,13.15,91.2,70.0,0.0,0.0
374700000.0,2021-05-03 22:00:00,48.471355,-125.214625,13.05,91.5,70.0,0.0,0.0
374700000.0,2021-05-03 22:05:00,48.47121,-125.19032,12.95,89.95,70.0,0.0,0.0
374700000.0,2021-05-03 22:10:00,48.471365,-125.16536,12.9,88.9,70.0,0.0,0.0
374700000.0,2021-05-03 22:15:00,48.471605,-125.135285,13.0,88.9,70.0,0.0,0.0
374700000.0,2021-05-03 22:20:00,48.47191,-125.110305,13.05,88.45,70.0,0.0,0.0
374700000.0,2021-05-03 22:25:00,48.47254,-125.08514,12.7,87.75,70.0,0.0,0.0
374700000.0,2021-05-03 22:30:00,48.47271,-125.055955,12.25,90.1,70.0,0.0,0.0
374700000.0,2021-05-03 22:35:00,48.47247,-125.03224,12.35,91.0,70.0,0.0,0.0
374700000.0,2021-05-03 22:40:00,48.472485,-125.008215,12.25,88.95,70.0,0.0,0.0
374700000.0,2021-05-03 22:45:00,48.47287,-124.97914,12.05,89.5,70.0,0.0,0.0
374700000.0,2021-05-03 22:50:00,48.47292,-124.95705,12.0,89.85,70.0,0.0,0.0
374700000.0,2021-05-03 22:55:00,48.47305,-124.93082,12.0,89.8,70.0,0.0,0.0
374700000.0,2021-05-03 23:00:00,48.47302,-124.90608,11.8,89.8,70.0,0.0,0.0
374700000.0,2021-05-03 23:05:00,48.472855,-124.880705,11.7,90.25,70.0,0.0,0.0
374700000.0,2021-05-03 23:10:00,48.47298,-124.858325,11.6,88.2,70.0,0.0,0.0
374700000.0,2021-05-03 23:15:00,48.473215,-124.83108,11.6,89.35,70.0,0.0,0.0
374700000.0,2021-05-03 23:20:00,48.473495,-124.808445,11.8,88.4,70.0,0.0,0.0
374700000.0,2021-05-03 23:25:00,48.474015,-124.78559,11.75,88.25,70.0,0.0,0.0
374700000.0,2021-05-03 23:30:00,48.47448,-124.76245,12.0,87.95,70.0,0.0,0.0
374700000.0,2021-05-03 23:35:00,48.474775,-124.73331,12.1,91.1,70.0,0.0,0.0
374700000.0,2021-05-03 23:40:00,48.471335,-124.711695,12.2,112.25,70.0,0.0,0.0
374700000.0,2021-05-03 23:45:00,48.464,-124.68819,11.8,112.9,70.0,0.0,0.0
374700000.0,2021-05-03 23:50:00,48.45685,-124.66493,11.55,114.85,70.0,0.0,0.0
374700000.0,2021-05-03 23:55:00,48.450595,-124.64436,11.85,114.45,70.0,0.0,0.0
374700000.0,2021-05-04 00:00:00,48.44351,-124.62127,12.1,114.6,70.0,0.0,0.0
374700000.0,2021-05-04 00:05:00,48.436095,-124.59715,12.3,114.95,70.0,0.0,0.0
374700000.0,2021-05-04 00:10:00,48.42913,-124.575505,12.3,115.95,70.0,0.0,0.0
374700000.0,2021-05-04 00:15:00,48.42206,-124.553825,12.55,116.15,70.0,0.0,0.0
374700000.0,2021-05-04 00:20:00,48.412975,-124.526405,12.55,115.55,70.0,0.0,0.0
374700000.0,2021-05-04 00:25:00,48.406035,-124.504715,13.05,115.1,70.0,0.0,0.0
374700000.0,2021-05-04 00:30:00,48.39885,-124.481135,13.6,114.15,70.0,0.0,0.0
374700000.0,2021-05-04 00:35:00,48.389655,-124.450795,13.8,114.7,70.0,0.0,0.0
374700000.0,2021-05-04 00:40:00,48.382185,-124.426625,13.95,114.75,70.0,0.0,0.0
374700000.0,2021-05-04 00:45:00,48.37332,-124.3978,13.95,114.55,70.0,0.0,0.0
374700000.0,2021-05-04 00:50:00,48.366105,-124.37439,14.1,114.85,70.0,0.0,0.0
